full_name,batch,stars,license,in_bugsinpy,e5_pass,e6_pass,py_bytes,loc_est,bucket,small_candidate
public-apis/public-apis,stars>5000,433822,mit,False,True,True,40479,1156,small_strict,True
EbookFoundation/free-programming-books,stars>5000,388010,cc-by-4.0,False,False,True,0,0,,False
donnemartin/system-design-primer,stars>5000,347721,other,False,False,True,0,0,,False
vinta/awesome-python,stars>5000,296945,other,False,False,True,0,0,,False
TheAlgorithms/Python,stars>5000,220912,mit,False,True,True,3570011,102000,large,False
Significant-Gravitas/AutoGPT,stars>5000,184154,other,False,False,True,0,0,,False
AUTOMATIC1111/stable-diffusion-webui,stars>5000,162802,agpl-3.0,False,True,True,1840622,52589,large,False
yt-dlp/yt-dlp,stars>5000,161510,unlicense,False,True,True,10473957,299255,out_of_range,False
huggingface/transformers,stars>5000,160442,apache-2.0,False,True,True,67090940,1916884,out_of_range,False
521xueweihan/HelloGitHub,stars>5000,155988,,False,False,True,0,0,,False
langflow-ai/langflow,stars>5000,147926,mit,False,True,True,15994714,456991,out_of_range,False
NousResearch/hermes-agent,stars>5000,142346,mit,False,True,True,30735893,878168,out_of_range,False
ytdl-org/youtube-dl,stars>5000,140242,unlicense,True,True,True,0,0,,False
open-webui/open-webui,stars>5000,136479,other,False,False,True,0,0,,False
langchain-ai/langchain,stars>5000,136320,mit,False,True,True,12185818,348166,out_of_range,False
anthropics/skills,stars>5000,131592,,False,False,True,0,0,,False
microsoft/markitdown,stars>5000,122404,mit,False,True,True,379093,10831,medium,False
Comfy-Org/ComfyUI,stars>5000,112276,gpl-3.0,False,True,True,7809543,223129,out_of_range,False
Shubhamsaboo/awesome-llm-apps,stars>5000,109602,apache-2.0,False,True,True,2790371,79724,large,False
deepseek-ai/DeepSeek-V3,stars>5000,103455,mit,False,True,True,57381,1639,small_strict,True
pytorch/pytorch,stars>5000,99794,other,False,False,True,0,0,,False
openai/whisper,stars>5000,99257,mit,False,True,True,159343,4552,small_strict,True
fastapi/fastapi,stars>5000,98073,mit,True,True,True,0,0,,False
nvbn/thefuck,stars>5000,96857,mit,True,True,True,0,0,,False
github/spec-kit,stars>5000,95165,mit,False,True,True,1917030,54772,large,False
browser-use/browser-use,stars>5000,93242,mit,False,True,True,3092661,88361,large,False
hacksider/Deep-Live-Cam,stars>5000,92859,agpl-3.0,False,True,True,294035,8401,medium,False
django/django,stars>5000,87457,bsd-3-clause,False,True,True,18702885,534368,out_of_range,False
home-assistant/core,stars>5000,86994,apache-2.0,False,True,True,105610935,3017455,out_of_range,False
